endereco,preco,area,quartos,banheiros,garagens,latitude,longitude
"Plano Diretor Sul, Palmas",340000,89,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",290000,130,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",990000,170,3,3,2,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",450000,173,4,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,249,4,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,132,3,3,3,-10.2196474,-48.33896439999999
"Quadra ARSE 141 Alameda 6, Plano Diretor Sul",350000,96,3,2,2,-10.2564921,-48.3225976
"Quadra ARNE 64 Alameda 2, Plano Diretor Norte",315000,115,3,1,3,-10.156889,-48.3134594
"Plano Diretor Sul, Palmas",1980000,240,4,5,3,-10.2196474,-48.33896439999999
"ARNE 12 Alameda 3, Plano Diretor Norte",1200000,196,3,5,4,-10.1866412,-48.3197111
"Plano Diretor Norte, Palmas",630000,278,3,4,3,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",270000,66,2,2,3,-10.2196474,-48.33896439999999
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",799900,250,3,3,2,-10.249488,-48.3270034
"Plano Diretor Sul, Palmas",640000,150,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",850000,334,4,5,4,-10.1701661,-48.3339796
"Avenida Palmas, Setor Bela Vista Taquaralto",190000,90,2,2,1,-10.3447781,-48.2998294
"Quadra ARSO 151 QI 35, Plano Diretor Sul",340000,89,3,2,2,-10.215773,-48.3340767
"Quadra ARSE 92 Alameda 19, Plano Diretor Sul",350000,362,3,2,0,-10.2123137,-48.3461322
"ARSO 42 Alameda 15, Plano Diretor Sul",590000,130,3,2,0,-10.215773,-48.3340767
"ARSO 34 Avenida A, Plano Diretor Sul",650000,150,3,2,2,-10.215773,-48.3340767
"Jardim Aureny III, Palmas",320000,320,5,1,3,-10.300991,-48.3489356
"Plano Diretor Sul, Palmas",280000,68,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",430000,157,3,3,4,-10.2196474,-48.33896439999999
"Quadra ACSU SO 140 Avenida NS 1, Plano Diretor Sul",270000,70,2,2,2,-10.2739078,-48.3362343
"Avenida Palmas, Setor Bela Vista Taquaralto",190000,90,2,2,0,-10.3447781,-48.2998294
"Quadra ARSO 52 Alameda 20, Plano Diretor Sul",799900,167,2,1,3,-10.1907291,-48.3211733
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",920000,190,3,4,4,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",280000,98,2,1,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",430000,160,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,195,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",580000,140,3,2,4,-10.2196474,-48.33896439999999
"ARSO 22 Alameda 16, Plano Diretor Sul",390000,110,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",580000,140,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",420000,300,2,2,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",450000,265,3,3,2,-10.2196474,-48.33896439999999
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",262000,64,2,2,2,-10.1602982,-48.3127103
"Plano Diretor Sul, Palmas",450000,120,3,2,2,-10.2196474,-48.33896439999999
"ARSO 54 Alameda 8, Plano Diretor Sul",649000,239,3,2,2,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",530000,108,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",450000,160,3,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",450000,300,3,3,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",639000,138,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",380000,100,3,1,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",540000,180,3,1,2,-10.2196474,-48.33896439999999
"Rua Allan Sampaio, Loteamento Bertaville",230000,70,2,2,2,-10.2929032,-48.3199199
"Plano Diretor Sul, Palmas",490000,115,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",415000,180,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",260000,132,3,1,2,-10.2196474,-48.33896439999999
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",707000,150,3,3,2,-10.249488,-48.3270034
"Rua NC 1, Setor Bela Vista Taquaralto",385000,150,3,2,3,-10.3527888,-48.3000326
"Plano Diretor Norte, Palmas",559000,130,3,3,0,-10.1701661,-48.3339796
"ARSE 13 Alameda 6, Plano Diretor Sul",695000,220,3,4,4,-10.2564921,-48.3225976
"Setor Bela Vista Taquaralto, Palmas",198000,82,2,2,2,-10.3526595,-48.2966073
"Plano Diretor Sul, Palmas",920000,117,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",570000,130,3,2,0,-10.2196474,-48.33896439999999
"ARSO 43 Alameda 5, Plano Diretor Sul",630000,135,3,2,2,-10.2458473,-48.3248386
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",1800000,210,3,4,4,-10.2259518,-48.365767
"Rua Copaíba, Setor Morada do Sol Taquaralto",160000,73,2,2,1,-10.3430109,-48.286646
"Plano Diretor Sul, Palmas",420000,131,3,2,3,-10.2196474,-48.33896439999999
"ARSO 43 Alameda 10, Plano Diretor Sul",695000,154,3,3,2,-10.215773,-48.3340767
"Plano Diretor Norte, Palmas",450000,142,3,2,4,-10.1701661,-48.3339796
"Plano Diretor Norte, Palmas",280000,138,2,1,1,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",680000,163,3,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",450000,265,3,3,2,-10.2196474,-48.33896439999999
"ARSO 54 Alameda 23, Plano Diretor Sul",600000,132,3,3,2,-10.2470879,-48.3189666
"Quadra ARSE 71 Alameda 12, Plano Diretor Sul",450000,160,3,2,3,-10.2145542,-48.3470753
"Plano Diretor Sul, Palmas",1200000,200,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",695000,145,3,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",200000,74,2,2,1,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",450000,100,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",350000,100,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",350000,94,2,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",420000,90,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",330000,90,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",450000,120,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",630000,147,3,3,4,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",650000,156,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",395000,225,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,155,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",340000,135,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",260000,80,2,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 111 Alameda 24, Plano Diretor Sul",390000,102,3,2,2,-10.1906574,-48.3206938
"ARSO 54 Alameda 8, Plano Diretor Sul",380000,127,3,2,2,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",650000,214,3,2,2,-10.2196474,-48.33896439999999
"ACNO 1 Avenida LO 2, Plano Diretor Norte",450000,160,3,3,2,-10.1537659,-48.329711
"Plano Diretor Norte, Palmas",450000,300,3,2,0,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",290000,60,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,249,4,4,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",600000,108,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",417000,184,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",280000,81,2,1,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",585000,110,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,164,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",360000,100,3,2,2,-10.2196474,-48.33896439999999
"ARNE 12 Alameda 13, Plano Diretor Norte",685000,220,4,2,4,-10.2143318,-48.3460029
"Plano Diretor Sul, Palmas",195000,137,2,2,1,-10.2196474,-48.33896439999999
"Quadra ARSE 131 Rua 20, Plano Diretor Sul",350000,138,3,3,3,-10.2961942,-48.300342
"Jardim Aureny III, Palmas",140000,110,2,1,0,-10.300991,-48.3489356
"Plano Diretor Sul, Palmas",280000,300,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,213,3,3,2,-10.2196474,-48.33896439999999
"Quadra ARSE 141 Alameda 1, Plano Diretor Sul",360000,101,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",699000,127,3,2,2,-10.1701661,-48.3339796
"Plano Diretor Norte, Palmas",1350000,415,4,4,4,-10.1701661,-48.3339796
"Plano Diretor Expansao Sul, Palmas",630000,126,3,1,3,-10.2654323,-48.3324219
"ARSO 54 Avenida LO 11, Plano Diretor Sul",680000,163,3,4,2,-10.211029,-48.34876209999999
"ARSO 42 Alameda 5, Plano Diretor Sul",680000,157,3,3,2,-10.24584,-48.324821
"Plano Diretor Sul, Palmas",1100000,180,3,4,3,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",1110000,289,4,4,4,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",850000,360,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",750000,232,4,4,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",339000,80,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",630000,149,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",240000,120,3,2,1,-10.1701661,-48.3339796
"ARSE 14 Alameda 13, Plano Diretor Sul",850000,154,3,4,2,-10.2143318,-48.3460029
"ARSO 42 Alameda 5, Plano Diretor Sul",720000,135,3,2,1,-10.24584,-48.324821
"Plano Diretor Sul, Palmas",580000,124,3,2,2,-10.2196474,-48.33896439999999
"ARSO 23 Alameda 1, Plano Diretor Sul",550000,240,4,4,3,-10.1957463,-48.3534094
"Plano Diretor Sul, Palmas",460000,140,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSE 101 Alameda 6, Plano Diretor Sul",550000,126,3,4,2,-10.2563753,-48.3227179
"ARSE 14 Alameda 5, Plano Diretor Sul",350000,94,2,3,2,-10.2459146,-48.3256023
"Plano Diretor Sul, Palmas",520000,103,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARNO 23 Alameda 122, Plano Diretor Norte",650000,402,6,6,6,-10.1701661,-48.3339796
"Quadra ARSO 52 Alameda 35, Plano Diretor Sul",520000,103,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",280000,150,2,2,4,-10.2196474,-48.33896439999999
"Quadra ARSO 101 Alameda 1, Plano Diretor Sul",360000,180,3,2,2,-10.2490428,-48.33944880000001
"Plano Diretor Sul, Palmas",450000,95,3,2,2,-10.2196474,-48.33896439999999
"ARSO 23 Alameda 4, Plano Diretor Sul",550000,240,3,1,3,-10.2155869,-48.3460051
"Plano Diretor Norte, Palmas",450000,140,3,2,3,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",520000,111,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",450000,148,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 2, Plano Diretor Sul",880000,360,3,2,4,-10.2154065,-48.3452303
"Plano Diretor Sul, Palmas",470000,105,3,3,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",480000,120,3,2,3,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",530000,116,3,1,2,-10.2196474,-48.33896439999999
"Quadra ARNE 54 Alameda 1, Plano Diretor Norte",850000,193,3,3,2,-10.1701661,-48.3339796
"Loteamento Caribe, Palmas",2700000,240,3,5,0,-10.1881138,-48.3060912
"Plano Diretor Norte, Palmas",449000,120,3,2,2,-10.1701661,-48.3339796
"Plano Diretor Norte, Palmas",385000,300,3,2,2,-10.1701661,-48.3339796
"Rua 12, Jardim Aureny II",185000,75,2,2,2,-10.3334209,-48.300907
"ARSO 54 Alameda 8, Plano Diretor Sul",680000,163,3,4,2,-10.2169161,-48.3465641
"Quadra ARSE 121 Alameda 8, Plano Diretor Sul",370000,140,3,2,4,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",280000,186,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",550000,320,3,4,4,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",650000,150,3,3,0,-10.2196474,-48.33896439999999
"Quadra ARSE 141 Alameda 12, Plano Diretor Sul",350000,96,3,2,2,-10.2145542,-48.3470753
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",220000,86,2,2,1,-10.249488,-48.3270034
"Plano Diretor Sul, Palmas",420000,158,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",640000,150,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSE 92 Alameda 1, Plano Diretor Sul",565000,133,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",320000,200,3,1,2,-10.2196474,-48.33896439999999
"Quadra ACSE 1 Rua de Pedestre SE 3, Plano Diretor Sul",265000,70,2,2,2,-10.1862584,-48.3271261
"Plano Diretor Sul, Palmas",650000,195,3,2,3,-10.2196474,-48.33896439999999
"Quadra ARSO 151 QI 35, Plano Diretor Sul",590000,132,3,3,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",680000,158,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,120,3,4,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,213,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,175,3,3,2,-10.2196474,-48.33896439999999
"Quadra ARSO 151 QI 35, Plano Diretor Sul",340000,89,3,2,3,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",550000,260,3,3,2,-10.2196474,-48.33896439999999
"ARSO 62 Alameda 38, Plano Diretor Sul",580000,160,3,2,2,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",599000,365,3,3,0,-10.2196474,-48.33896439999999
"ARSO 14 Avenida NS 9, Plano Diretor Sul",3100000,343,4,5,4,-10.214628,-48.3599536
"Plano Diretor Norte, Palmas",650000,360,3,2,3,-10.1701661,-48.3339796
"Quadra ARSO 52 Alameda 3, Plano Diretor Sul",920000,167,3,3,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",695000,158,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,175,3,2,4,-10.2196474,-48.33896439999999
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",550000,116,3,2,2,-10.1602982,-48.3127103
"ARSO 31 Alameda 3, Plano Diretor Sul",1300000,300,4,5,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",770000,177,4,5,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",550000,300,4,3,3,-10.1701661,-48.3339796
"Quadra ARNO 42 Alameda 13, Plano Diretor Norte",400000,160,3,3,3,-10.2143318,-48.3460029
"Plano Diretor Sul, Palmas",320000,95,2,2,1,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",549999,96,3,2,2,-10.216539,-48.3462107
"Quadra ARNE 51 Alameda 10, Plano Diretor Norte",350000,84,2,2,2,-10.1540697,-48.3151632
"ARSO 64 Avenida LO 13, Plano Diretor Sul",540000,120,3,3,2,-10.1879793,-48.3271244
"Plano Diretor Sul, Palmas",650000,155,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",390000,115,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 101 Alameda 3, Plano Diretor Sul",420000,110,3,3,2,-10.2080468,-48.3548704
"Plano Diretor Sul, Palmas",270000,65,2,2,0,-10.2196474,-48.33896439999999
"Loteamento Caribe, Palmas",1300000,177,3,4,4,-10.1881138,-48.3060912
"Quadra ARSO 151 QI 35, Plano Diretor Sul",340000,89,3,2,2,-10.215773,-48.3340767
"Quadra ARSO 111 Alameda 1, Plano Diretor Sul",384900,103,3,2,2,-10.215773,-48.3340767
"Quadra ARSO 151 QI 20, Plano Diretor Sul",590000,145,3,3,3,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",650000,150,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",395000,108,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",762048,148,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",629000,125,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",975000,195,4,5,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",290000,80,2,2,3,-10.2196474,-48.33896439999999
"ARSO 53 Alameda 1, Plano Diretor Sul",645000,155,3,3,4,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",360000,115,3,2,2,-10.2196474,-48.33896439999999
"ARSO 54 Alameda 8, Plano Diretor Sul",649000,129,3,3,4,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",360000,97,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",580000,136,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",680000,163,3,4,4,-10.2196474,-48.33896439999999
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",1650000,210,3,3,2,-10.249488,-48.3270034
"Plano Diretor Sul, Palmas",360000,86,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARNE 61 Alameda 2, Plano Diretor Norte",295000,100,3,2,4,-10.156889,-48.3134594
"Plano Diretor Sul, Palmas",550000,249,4,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",630000,125,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",240000,78,2,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",450000,142,3,2,3,-10.1701661,-48.3339796
"Quadra ARSO 151 QI 35, Plano Diretor Sul",340000,89,3,2,2,-10.215773,-48.3340767
"Jardim Janaina Taquaralto, Palmas",160000,80,2,2,0,-10.3398601,-48.3001313
"Plano Diretor Sul, Palmas",420000,240,4,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",340000,89,3,2,0,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",390000,130,3,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,236,3,2,2,-10.2196474,-48.33896439999999
"ARSO 62 Alameda 16, Plano Diretor Sul",500000,107,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",180000,52,2,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",695000,145,3,5,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,116,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",540000,120,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",580000,116,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSE 62 Alameda Dejanira, Plano Diretor Sul",665000,230,4,3,4,-10.2226877,-48.3195647
"Plano Diretor Norte, Palmas",570000,124,3,2,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",430000,160,3,3,0,-10.2196474,-48.33896439999999
"Área Rural de Palmas, Area Rural de Palmas",500000,180,3,3,0,,
"Plano Diretor Sul, Palmas",350000,92,3,1,2,-10.2196474,-48.33896439999999
"Quadra ARSE 111 Alameda 10, Plano Diretor Sul",235000,58,2,2,1,-10.249488,-48.3270034
"Plano Diretor Sul, Palmas",1450000,334,3,4,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,124,3,4,0,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",460000,180,3,2,2,-10.1701661,-48.3339796
"Avenida I, Jardim Aureny III",300000,107,3,2,0,-10.2820811,-48.3410426
"Plano Diretor Sul, Palmas",1000000,260,5,4,2,-10.2196474,-48.33896439999999
"Quadra ARSE 82 Alameda 8, Plano Diretor Sul",350000,120,3,2,3,-10.2169161,-48.3465641
"Quadra ARSO 151 QI 34, Plano Diretor Sul",340000,70,3,2,1,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",680000,163,3,3,2,-10.2196474,-48.33896439999999
"ARSO 32 Rua 1 A, Plano Diretor Sul",420000,100,3,3,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",410000,109,3,2,2,-10.2196474,-48.33896439999999
"ARSO 54 Alameda 8, Plano Diretor Sul",800000,230,3,3,3,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",740000,150,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,195,3,2,3,-10.2196474,-48.33896439999999
"Quadra ARSE 102 Alameda 2, Plano Diretor Sul",750000,240,4,3,3,-10.2154065,-48.3452303
"Quadra ARSO 52 Alameda 25, Plano Diretor Sul",530000,103,3,2,2,-10.215773,-48.3340767
"ARSO 61 Alameda 10, Plano Diretor Sul",739000,247,3,3,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",890000,214,4,4,0,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",998000,157,3,3,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",600000,140,3,3,4,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",920000,177,3,3,2,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",325000,200,3,2,3,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",530000,120,3,3,2,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",400000,112,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",480000,148,3,2,2,-10.2196474,-48.33896439999999
"ARSO 42 Alameda 15, Plano Diretor Sul",720000,166,3,1,0,-10.215773,-48.3340767
"Plano Diretor Norte, Palmas",565000,130,3,2,4,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",520000,116,3,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",360000,352,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,267,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",350000,80,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",695000,180,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARSO 151 QI 22, Plano Diretor Sul",460000,133,3,2,1,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",340000,360,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,120,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",550000,130,3,3,2,-10.1602982,-48.3127103
"Plano Diretor Sul, Palmas",200000,80,3,1,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",690000,206,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",750000,450,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",500000,10,1,1,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",220000,60,2,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",695000,154,3,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",750000,168,4,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",390000,130,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",395000,184,5,5,4,-10.2196474,-48.33896439999999
"ARSO 43 Alameda Circular 1, Plano Diretor Sul",640000,138,3,3,2,-10.215773,-48.3340767
"ARSO 42 Alameda 2, Plano Diretor Sul",590000,130,3,3,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",645000,329,3,1,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",250000,63,2,2,2,-10.2196474,-48.33896439999999
"Quadra ARNE 14 Alameda 23, Plano Diretor Norte",550000,154,4,3,3,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",739000,247,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,245,3,4,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,246,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",420000,120,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARSO 151 QI 35, Plano Diretor Sul",650000,207,4,4,4,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",320000,88,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",299000,77,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARSE 121 Alameda 6, Plano Diretor Sul",430000,148,3,2,2,-10.2564921,-48.3225976
"Plano Diretor Sul, Palmas",550000,116,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 19, Plano Diretor Sul",520000,103,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",375000,100,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",260000,80,2,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",645000,135,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",490000,360,3,4,3,-10.2196474,-48.33896439999999
"Quadra ARNE 71 Alameda 9, Plano Diretor Norte",670000,165,3,2,4,-10.2117983,-48.3466317
"Plano Diretor Sul, Palmas",720000,102,3,2,1,-10.2196474,-48.33896439999999
"Quadra ARSE 102 Alameda 22, Plano Diretor Sul",450000,135,3,2,2,-10.1881759,-48.32119369999999
"Plano Diretor Sul, Palmas",450000,140,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",220000,60,2,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",599000,145,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,250,4,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",600000,103,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",360000,92,3,1,2,-10.2196474,-48.33896439999999
"ARSO 54 Alameda 8, Plano Diretor Sul",629000,125,3,3,3,-10.2169161,-48.3465641
"ARSO 43 Alameda Circular 1, Plano Diretor Sul",670000,154,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",650000,137,3,4,2,-10.2196474,-48.33896439999999
"ARSE 23 Alameda 1, Plano Diretor Sul",1150000,300,4,3,5,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",550000,96,3,2,2,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",400000,106,3,2,2,-10.2196474,-48.33896439999999
